city,country,ID,date,cloudiness,humidity,latitude,longitude,temperature,wind speed
Byron Bay,AU,2172880,1535061600,12,77,-28.65,153.62,60.8,3.36
Ureki,GE,611274,1535061600,75,88,42.0,41.78,73.4,6.93
Sarakhs,IR,1159716,1535061600,0,30,36.54,61.16,68.0,4.7
Nanortalik,GL,3421765,1535063567,88,93,60.14,-45.24,42.82,13.09
Camacha,PT,2270385,1535061600,20,78,33.08,-16.33,77.0,4.7
Constitucion,MX,4011743,1535060880,75,38,23.99,-104.67,75.2,3.36
Ongandjera,NA,3354178,1535063702,0,43,-17.88,15.07,55.69,5.7
Weligama,LK,1223738,1535063565,80,89,5.97,80.42,78.64,14.99
Morondava,MG,1058381,1535063703,0,100,-20.3,44.28,66.76,4.59
Bloomington,US,4885164,1535062500,20,44,40.47,-88.99,78.44,9.17
Nizhnyaya Poyma,RU,1497397,1535063703,0,84,56.16,97.2,57.58,2.68
Sertanopolis,BR,3447658,1535061600,0,64,-23.06,-51.04,75.2,4.7
Maraba,BR,3395503,1535061600,20,66,-5.35,-49.1,84.2,3.36
Batagay-Alyta,RU,2027042,1535063704,32,96,67.8,130.41,43.81,5.93
Tilichiki,RU,2120591,1535063596,0,72,60.47,166.1,61.72,6.82
Hangu,CN,1808931,1535061600,0,88,39.25,117.8,69.8,6.71
Tobol,KZ,1518139,1535063704,8,80,52.68,62.58,51.82,11.07
Merauke,ID,2082539,1535063621,32,81,-8.49,140.4,80.89,12.19
Den Helder,NL,2757220,1535063100,90,82,52.96,4.76,62.6,5.82
Muros,ES,3115824,1535061600,90,93,42.77,-9.06,64.4,6.93
Kargasok,RU,1504382,1535063705,92,100,59.06,80.87,53.44,2.8
Namikupa,TZ,877631,1535063705,0,92,-10.83,39.6,62.08,2.13
Otjimbingwe,NA,3353871,1535063706,0,52,-22.35,16.13,44.8,2.46
Hamilton,BM,3573197,1535061300,40,74,32.3,-64.78,82.4,10.29
Chanika,TZ,160592,1535063706,68,96,-5.42,38.02,63.79,5.03
Half Moon Bay,US,5354943,1535061600,40,72,37.46,-122.43,77.0,5.82
Bonfim,BR,3451126,1535058000,0,44,-20.33,-44.24,75.2,9.17
Kruisfontein,ZA,986717,1535063707,0,100,-34.0,24.73,50.38,4.36
Rocha,UY,3440777,1535063707,36,92,-34.48,-54.34,48.85,7.61
Qena,EG,350550,1535058000,0,43,26.16,32.72,89.6,4.36
Andenes,NO,3163146,1535062800,92,71,69.31,16.12,53.6,16.11
Shache,CN,1280037,1535063530,88,73,38.42,77.24,65.5,7.94
Sebeta,ET,329114,1535058000,75,93,8.91,38.62,53.6,4.7
Venezuela,CU,3534432,1535063634,64,100,21.74,-78.8,77.74,3.8
Labuhan,ID,1641899,1535063708,68,93,-2.54,115.51,73.96,2.57
Polunochnoye,RU,1494482,1535063708,92,76,60.87,60.43,51.46,9.95
Turkmenabat,TM,1219649,1535061600,0,35,39.09,63.58,69.8,11.41
Morros,BR,3398381,1535061600,0,74,-2.87,-44.04,80.6,11.41
Kotdwara,IN,1266014,1535063709,92,100,29.75,78.53,68.02,2.24
Greenville,US,4580543,1535061360,1,31,34.85,-82.4,82.04,8.05
Huarmey,PE,3939168,1535063710,8,74,-10.07,-78.15,61.99,4.14
Pilar,PH,1693839,1535058000,90,88,14.67,120.55,82.4,17.22
Gizo,SB,2108857,1535063710,48,100,-8.1,156.84,82.51,9.4
Leningradskiy,RU,2123814,1535063532,92,90,69.38,178.42,41.38,8.72
Nevelsk,RU,2122894,1535061600,75,93,46.67,141.86,57.2,11.18
Wajima,JP,1848976,1535063711,36,76,37.4,136.9,84.49,20.36
Krasyliv,UA,704492,1535063711,32,53,49.66,26.97,65.41,11.18
Athens,US,4180386,1535061360,20,52,33.96,-83.39,86.0,4.7
Saint George,BM,3573061,1535061300,40,74,32.38,-64.68,82.4,10.29
Luang Prabang,LA,1655559,1535063712,92,100,19.89,102.14,69.64,2.13
Petrovsk-Zabaykalskiy,RU,2017945,1535063712,12,81,51.27,108.84,66.85,2.91
Malur,IN,1264010,1535061600,40,100,13.01,77.94,68.0,14.99
Kyra,RU,2021041,1535063712,0,86,49.58,111.97,63.16,2.91
Brae,GB,2654970,1535062800,56,87,60.4,-1.35,51.8,8.05
Lavrentiya,RU,4031637,1535063713,80,96,65.58,-170.99,46.96,4.03
Nishihara,JP,1850144,1535062740,75,83,35.74,139.53,82.4,20.8
Hjelset,NO,3152548,1535061000,75,76,62.78,7.5,55.4,6.93
Port Macquarie,AU,2152659,1535061600,0,93,-31.43,152.91,48.2,5.82
Miandrivazo,MG,1059051,1535063714,0,87,-19.53,45.46,57.67,2.46
Katsuura,JP,1865309,1535059200,75,74,33.93,134.5,84.2,19.46
Erenhot,CN,2037485,1535063714,0,58,43.65,111.97,65.59,8.39
Bocas del Toro,PA,3713959,1535063444,88,100,9.33,-82.25,80.62,14.76
Talnakh,RU,1490256,1535063656,0,72,69.49,88.39,51.82,9.73
Aranos,NA,3358666,1535063715,0,37,-24.14,19.11,42.46,2.91
Comodoro Rivadavia,AR,3860443,1535061600,20,81,-45.87,-67.48,44.6,3.36
Morehead,PG,2090495,1535063715,44,65,-8.71,141.64,82.69,12.75
Aloleng,PH,1731298,1535063715,92,100,16.13,119.78,76.48,12.3
Pakxan,LA,1655140,1535063716,92,99,18.39,103.66,71.71,2.35
Sovetskiy,RU,490040,1535063716,68,73,56.76,48.47,50.56,8.28
Fortuna,US,5563839,1535061300,90,82,40.6,-124.16,60.98,9.17
Cibadak,ID,1629710,1535061600,20,88,-6.23,107.38,75.2,6.6
Sao Simao,BR,3448197,1535061600,0,28,-21.48,-47.55,82.4,4.7
Gornozavodsk,RU,559752,1535063717,92,90,58.37,58.33,47.23,11.18
Tres Arroyos,AR,3833859,1535063717,68,39,-38.38,-60.28,53.17,7.16
Asbe Teferi,ET,343402,1535063717,76,81,9.08,40.87,59.29,3.8
Molina,CL,3879627,1535061600,75,86,-35.11,-71.28,41.0,9.17
Swan River,CA,6160362,1535063718,0,47,52.11,-101.27,68.11,9.62
Gidole,ET,336526,1535063718,92,90,5.65,37.37,64.87,2.13
Mayumba,GA,2399001,1535063656,68,99,-3.44,10.65,70.27,4.81
Digras,IN,1272596,1535063718,12,94,20.1,77.72,73.51,11.41
Bangui,CF,2389853,1535061600,20,94,4.39,18.55,73.4,6.93
Aden,YE,415189,1535063719,36,91,12.79,45.03,78.37,7.83
Bonthe,SL,2409914,1535063719,92,95,7.53,-12.5,76.03,4.14
Karpathos,GR,260895,1535061000,0,88,35.51,27.21,75.2,14.99
Lisala,CD,211734,1535063719,92,98,2.15,21.52,68.74,4.03
Te Anau,NZ,2181625,1535063720,92,100,-45.41,167.72,41.83,3.47
Svetlogorsk,RU,584051,1535061600,40,66,53.14,59.15,50.0,11.18
Biak,ID,1637001,1535063720,92,95,-0.91,122.88,76.66,4.92
Road Town,VG,3577430,1535061600,40,62,18.42,-64.62,84.92,8.05
Abbeville,FR,3038789,1535061600,75,68,50.11,1.83,66.2,13.87
Batang Berjuntai,MY,1732892,1535061600,75,88,3.38,101.42,75.2,2.91
Taltal,CL,3870243,1535063721,0,94,-25.41,-70.49,51.91,2.24
Port Alberni,CA,6111632,1535061600,75,37,49.24,-124.81,71.6,4.7
Dzhankoy,UA,709334,1535063721,0,72,45.71,34.39,65.59,8.16
Seoul,KR,1835848,1535061600,75,78,37.57,126.98,77.0,13.87
Licheng,CN,1803790,1535063721,68,80,24.5,110.4,80.8,3.47
Tessalit,ML,2449893,1535063574,36,36,20.2,1.01,84.31,3.36
La Asuncion,VE,3480908,1535061600,40,83,11.03,-63.86,82.4,15.43
Cajnice,BA,3202895,1535061600,0,77,43.56,19.07,64.4,1.12
Jamame,SO,56399,1535063722,88,83,0.07,42.75,75.67,9.4
Tangjiazhuang,CN,1783626,1535063723,76,85,33.27,105.76,66.31,2.35
Howard Springs,AU,6301965,1535061600,0,94,-12.5,131.05,68.0,1.12
Kourou,GF,3381303,1535061600,0,78,5.16,-52.64,80.6,5.82
Hambantota,LK,1244926,1535063723,48,100,6.12,81.12,79.54,18.68
Gashua,NG,2341656,1535063723,68,82,12.87,11.04,76.3,9.62
Ha Tinh,VN,1581047,1535063524,68,100,18.33,105.9,83.68,14.54
Cairns,AU,2172797,1535061600,20,77,-16.92,145.77,69.8,2.24
West Bay,KY,3580477,1535061600,20,74,19.37,-81.42,86.0,4.7
Naze,JP,1855540,1535059800,40,94,28.37,129.48,82.4,13.87
Borovskoy,KZ,1525121,1535063724,32,82,53.8,64.15,51.91,13.2
Clarksburg,US,4802316,1535061300,90,43,39.28,-80.34,75.92,4.7
Agadir,MA,2561668,1535061600,75,83,30.42,-9.58,69.8,2.24
Phan Thiet,VN,1571058,1535063725,76,100,10.93,108.1,78.64,10.18
Mitsamiouli,KM,921786,1535063725,68,98,-11.38,43.28,76.12,7.72
Moose Factory,CA,6078372,1535061600,90,76,51.26,-80.61,48.2,11.41
Beyneu,KZ,610298,1535063726,0,46,45.32,55.19,59.83,8.61
Poum,NC,2138555,1535063726,76,100,-20.23,164.02,71.26,14.43
Gambela,ET,337405,1535063726,92,97,8.25,34.59,61.27,2.91
Yulara,AU,6355222,1535061600,0,70,-25.24,130.99,42.8,4.7
Ribeira Grande,PT,3372707,1535059800,75,78,38.52,-28.7,75.2,13.87
Lesozavodsk,RU,2020812,1535063727,92,86,45.47,133.42,69.64,4.92
Shyryayeve,UA,694016,1535063727,0,57,47.38,30.2,56.77,5.37
Ketchikan,US,5554428,1535061360,75,60,55.34,-131.65,64.94,13.87
Medea,DZ,2488835,1535061600,40,83,36.27,2.77,73.4,2.24
Asyut,EG,359783,1535063728,0,55,27.18,31.19,77.47,6.93
Saint-Augustin,CA,6138501,1535061600,20,47,45.63,-73.98,77.0,9.17
Lazaro Cardenas,MX,3996234,1535060640,40,29,28.39,-105.62,89.6,3.36
Finschhafen,PG,2097418,1535063728,92,96,-6.6,147.85,73.78,3.36
Qazanbulaq,AZ,586112,1535061600,20,64,40.62,46.65,69.8,4.7
Alofi,NU,4036284,1535061600,75,61,-19.06,-169.92,82.4,6.93
Saint-Pierre,PM,3424934,1535061600,90,93,46.77,-56.17,66.2,21.92
Nara,ML,6779095,1535063729,0,91,15.17,-7.29,72.79,3.24
Srednekolymsk,RU,2121025,1535063730,8,74,67.46,153.71,54.61,3.36
Ramanuj Ganj,IN,1258731,1535063730,92,91,23.81,83.7,77.74,3.69
Vilyuysk,RU,2013392,1535063730,76,88,63.75,121.63,55.96,5.93
Palauig,PH,1696188,1535063730,92,100,15.44,119.9,73.87,6.6
Kashan,IR,128477,1535063730,8,21,33.99,51.44,76.66,8.28
Campbellsville,US,4286717,1535062500,1,39,37.34,-85.34,77.9,3.36
Khasan,RU,2039557,1535063731,92,100,42.43,130.64,67.57,12.53
Snezhnogorsk,RU,795243,1535061600,75,93,69.19,33.23,46.4,2.24
Pignon,HT,3718834,1535063731,80,99,19.34,-72.12,68.38,1.68
Cukai,MY,1732945,1535061600,44,100,4.25,103.42,75.2,3.24
Along,IN,1278969,1535063731,44,94,28.17,94.8,70.27,1.68
Roebourne,AU,2062276,1535063732,0,24,-20.77,117.15,59.47,16.78
Meadow Lake,CA,6071421,1535061600,90,62,54.13,-108.44,59.0,10.29
Marfino,RU,503977,1535061600,0,81,56.07,37.56,51.8,2.24
Aksu,CN,1529660,1535063732,12,69,41.12,80.26,57.49,3.24
Diamantino,BR,3464724,1535063733,8,78,-14.4,-56.44,73.87,2.13
Piacabucu,BR,3454005,1535063733,92,87,-10.41,-36.43,72.97,7.94
Verkhnyaya Inta,RU,1487332,1535063733,92,97,65.99,60.32,54.7,3.36
Trairi,BR,3386177,1535063734,8,98,-3.28,-39.27,79.81,20.69
Matagami,CA,6067747,1535061600,1,49,49.76,-77.63,73.4,6.93
Touros,BR,3386213,1535063734,0,82,-5.2,-35.46,76.57,15.88
Minab,IR,123941,1535061600,0,84,27.15,57.07,87.8,6.93
San Cristobal,EC,3652567,1535063735,92,97,-1.02,-79.44,63.52,1.57
Muravlenko,RU,1540711,1535063735,80,100,63.79,74.5,54.79,5.26
Navalmoral de la Mata,ES,2513324,1535063735,0,88,39.89,-5.54,61.54,2.35
Tymovskoye,RU,2120334,1535063736,64,83,50.85,142.66,59.02,2.57
Hammerfest,NO,779683,1535062800,75,87,70.66,23.68,48.2,9.17
Chubbuck,US,5588842,1535061180,1,2,42.93,-112.47,84.02,19.46
Maposeni,TZ,878073,1535063736,8,86,-10.58,35.4,52.81,2.35
Worland,US,5843495,1535061300,1,29,44.02,-107.96,78.98,8.05
Lumby,CA,6061958,1535061600,1,20,50.25,-118.97,84.2,11.41
Shubarshi,KZ,608270,1535063737,0,59,48.59,57.19,53.44,11.18
Knysna,ZA,988698,1535061600,0,87,-34.04,23.05,46.4,3.36
Sumbe,AO,3346015,1535063737,20,100,-11.2,13.84,67.12,3.8
Balarampur,IN,1277634,1535063738,92,98,23.1,86.22,77.11,3.91
Fatezh,RU,563300,1535063738,0,81,52.09,35.86,46.24,3.13
Cabedelo,BR,3404558,1535061600,0,73,-6.97,-34.84,73.4,6.93
Askino,RU,580577,1535063739,44,74,56.09,56.58,49.93,12.3
Gimli,CA,5961417,1535063739,44,41,50.63,-96.99,84.31,3.47
Mackay,AU,2159220,1535058000,0,93,-21.15,149.2,55.4,5.82
Praia,CV,3374333,1535061600,20,78,14.92,-23.51,78.8,14.99
Shebalino,RU,1492299,1535063739,36,97,51.29,85.68,48.85,1.45
Arman,RU,2127060,1535061600,90,87,59.7,150.17,57.2,2.24
Marawi,SD,370481,1535063740,0,28,18.48,31.82,78.91,2.8
Palembang,ID,1633070,1535059800,20,100,-2.99,104.76,77.0,2.24
Rio Sereno,PA,3701810,1535061600,40,79,8.82,-82.87,84.2,6.93
Cookeville,US,4615145,1535062500,1,47,36.16,-85.5,77.0,5.82
Icod de los Vinos,ES,2516474,1535061600,0,36,28.37,-16.71,75.2,9.17
Rio Gallegos,AR,3838859,1535061600,20,59,-51.62,-69.22,37.4,27.51
Middelburg,ZA,976361,1535063741,32,33,-25.77,29.46,42.37,1.9
Shaoguan,CN,1795874,1535063741,88,97,24.81,113.59,73.24,2.8
Dafeng,CN,1813088,1535063742,24,87,33.2,120.46,75.4,7.16
Laje,BR,3456450,1535063742,92,89,-13.18,-39.42,67.84,7.72
