city,country,ID,date,cloudiness,humidity,latitude,longitude,temperature,wind speed
Nicoya,CR,3622716,1535061600,0,62,10.15,-85.45,84.2,11.41
Chinhoyi,ZW,893697,1535063640,36,46,-17.36,30.19,62.8,8.95
Ilulissat,GL,3423146,1535061000,20,70,69.22,-51.1,44.6,8.05
Broken Hill,AU,2173911,1535063640,64,45,-31.97,141.45,56.77,13.42
Luba,GQ,2309528,1535061600,40,88,3.46,8.55,77.0,5.82
Brezno,SK,3060950,1535061600,0,64,48.81,19.64,69.8,2.24
Tommot,RU,2015179,1535063641,64,94,58.97,126.27,55.06,3.47
Trinidad,BO,3902377,1535061600,0,48,-14.83,-64.9,84.2,3.36
Ancud,CL,3899695,1535063641,0,72,-41.87,-73.83,42.37,7.16
Lompoc,US,5367788,1535061360,1,61,34.64,-120.46,80.6,16.11
Keti Bandar,PK,1174451,1535063642,92,98,24.14,67.45,80.17,22.37
Sitka,US,4267710,1535063642,8,64,37.17,-99.65,88.18,9.17
Kulhudhuffushi,MV,1337613,1535063642,32,98,6.62,73.07,83.05,15.32
Jamestown,SH,3370903,1535063642,80,100,-15.94,-5.72,68.29,18.23
Ostrovnoy,RU,556268,1535063642,92,96,68.05,39.51,44.8,3.13
Georgetown,SH,2411397,1535063643,92,100,-7.93,-14.42,76.48,17.78
Gubkinskiy,RU,1539209,1535063643,44,91,64.43,76.5,53.26,2.91
Chicama,PE,3698359,1535061600,90,88,-7.84,-79.15,62.6,9.17
Boissevain,CA,5905191,1535062500,1,50,49.23,-100.06,78.8,9.17
Tuktoyaktuk,CA,6170031,1535061600,40,83,69.44,-133.03,50.0,10.29
College,US,5859699,1535061480,90,75,64.86,-147.8,62.6,4.36
Faanui,PF,4034551,1535063644,76,100,-16.48,-151.75,78.82,14.88
Vardo,NO,777019,1535061000,75,100,70.37,31.11,48.2,5.82
Opuwo,NA,3354077,1535063645,0,56,-18.06,13.84,50.56,3.36
Cotonou,BJ,2394819,1535061600,40,88,6.37,2.43,77.0,13.87
Itororo,BR,3460542,1535063645,32,91,-15.12,-40.07,66.22,5.59
Anadyr,RU,2127202,1535061600,0,76,64.73,177.51,51.8,6.71
Zhicheng,CN,1805012,1535063646,0,71,35.04,112.59,76.48,3.91
Coquimbo,CL,3893629,1535061600,0,67,-29.95,-71.34,59.0,13.87
North Bend,US,5742974,1535061360,90,72,43.41,-124.22,64.94,12.75
Jabinyanah,TN,2470260,1535061600,20,69,35.03,10.91,78.8,3.36
Lukovetskiy,RU,533418,1535061600,90,100,64.29,41.92,53.6,17.9
Ambilobe,MG,1082243,1535063647,8,65,-13.19,49.05,68.11,11.63
Makakilo City,US,5850554,1535061480,20,67,21.35,-158.09,82.94,11.41
Takoradi,GH,2294915,1535063647,92,94,4.89,-1.75,74.5,5.03
Indian Head,CA,5982839,1535063648,0,28,50.53,-103.67,87.37,7.16
Pisco,PE,3932145,1535061600,20,30,-13.71,-76.2,71.6,21.92
Datong,CN,2037799,1535063648,92,98,40.09,113.3,58.75,4.03
Kapaa,US,5848280,1535061180,90,93,22.08,-159.32,80.96,18.34
Sao Jose da Coroa Grande,BR,3388456,1535063649,80,96,-8.9,-35.15,70.72,6.15
Geraldton,AU,2070998,1535061600,0,87,-28.77,114.6,46.4,10.29
Kautokeino,NO,779330,1535063649,12,80,69.01,23.04,42.46,4.25
Atambua,ID,1651103,1535063649,8,100,-9.11,124.89,75.76,5.14
Taupo,NZ,2181742,1535063650,0,85,-38.68,176.08,48.85,9.62
Arraial do Cabo,BR,3471451,1535058000,0,78,-22.97,-42.02,73.4,12.75
Camopi,GF,3382226,1535063650,44,94,3.17,-52.33,73.33,2.13
Ahipara,NZ,2194098,1535063650,36,82,-35.17,173.16,56.14,17.67
Dali,CN,1814093,1535063650,92,100,25.6,100.24,60.82,1.9
Cordoba,AR,3846616,1535063651,0,45,-27.78,-67.24,49.12,5.37
Lebu,CL,3883457,1535063651,88,100,-37.62,-73.65,50.56,18.68
Hecun,CN,1808749,1535063651,0,71,29.94,119.31,75.85,3.36
Kota Kinabalu,MY,1733432,1535061600,75,73,5.98,116.07,77.0,4.7
Turukhansk,RU,1488903,1535063651,44,70,65.8,87.96,55.42,15.1
Aleppo,SY,170063,1535063652,0,92,36.2,37.17,69.19,5.93
Hilo,US,5855927,1535061180,75,81,19.71,-155.08,82.04,9.17
Matadi,CD,2313002,1535063652,0,94,-5.83,13.46,68.11,5.14
Bambous Virieux,MU,1106677,1535061600,75,83,-20.34,57.76,69.8,6.93
Sao Joao da Barra,BR,3448903,1535061600,0,83,-21.64,-41.05,73.4,16.11
Kremenchuk,UA,704147,1535063653,0,74,49.08,33.43,54.25,4.7
Vestmannaeyjar,IS,3412093,1535063653,8,91,63.44,-20.27,48.85,9.06
Dikson,RU,1507390,1535063653,64,81,73.51,80.55,52.27,13.65
Meulaboh,ID,1214488,1535063653,12,100,4.14,96.13,77.02,2.01
Rosario do Sul,BR,3450873,1535063654,92,88,-30.26,-54.91,61.99,8.95
Vila Velha,BR,6320062,1535061600,0,69,-3.71,-38.6,80.6,8.05
Kaeo,NZ,2189343,1535063654,32,68,-35.1,173.78,55.96,17.22
Baiyin,CN,1817240,1535061600,0,100,36.55,104.13,53.6,4.47
Sosnovo-Ozerskoye,RU,2016216,1535063655,64,87,52.53,111.54,60.37,4.14
Port Lincoln,AU,2063036,1535063655,0,87,-34.72,135.86,59.29,11.41
Pangnirtung,CA,6096551,1535061600,90,57,66.15,-65.72,51.8,21.92
Tual,ID,1623197,1535063604,80,100,-5.67,132.75,78.82,11.74
Puerto Escondido,MX,3520994,1535060460,40,70,15.86,-97.07,86.0,7.05
Cochrane,CA,5924618,1535061600,90,26,51.19,-114.47,82.4,11.41
Victoria,SC,241131,1535058000,20,83,-4.62,55.45,77.0,13.87
Yablonovo,RU,578283,1535061600,0,67,50.85,37.36,57.2,4.47
Semey,KZ,1519422,1535063657,0,89,50.41,80.25,51.46,2.8
Manuk Mangkaw,PH,1701394,1535063657,20,100,4.8,119.85,79.81,6.04
Wageningen,SR,3382783,1535063657,24,100,5.77,-56.69,81.61,14.2
Novotroitsk,RU,517836,1535061600,0,81,51.2,58.3,48.2,8.95
Santa Helena de Goias,BR,3450206,1535063658,64,42,-17.81,-50.6,77.92,4.92
Ulaanbaatar,MN,2028462,1535063400,0,81,47.92,106.92,53.6,6.71
Fayaoue,NC,2141305,1535063658,88,100,-20.65,166.53,70.99,17.34
Smithers,CA,6149996,1535061600,75,45,54.78,-127.17,64.4,12.75
Dwarka,IN,1273294,1535059800,75,94,28.58,77.04,82.4,5.82
East London,ZA,1006984,1535063485,12,100,-33.02,27.91,61.36,3.91
Sahibganj,IN,1257794,1535063659,92,98,25.24,87.63,77.29,3.91
Milton,CA,6092122,1535061600,20,41,43.51,-79.88,78.8,18.34
Necochea,AR,3430443,1535063659,92,77,-38.55,-58.74,51.37,6.71
Santa Maria,CV,3374218,1535061600,40,78,16.6,-22.9,78.8,13.87
Lahij,YE,73560,1535063660,0,75,13.06,44.88,77.47,1.23
Longyearbyen,SJ,2729907,1535061000,75,100,78.22,15.64,42.8,4.7
Port Elizabeth,ZA,964420,1535061600,0,87,-33.92,25.57,48.2,3.36
Ponta do Sol,CV,3374346,1535063660,88,100,17.2,-25.09,76.75,12.75
Luderitz,NA,3355672,1535063661,0,88,-26.65,15.16,51.64,13.76
Bagula,IN,1277844,1535063661,68,97,23.33,88.64,78.46,7.61
